experiment_run_id,source_git_commit,case_id,episode_id,seed,decision_required,initial_success,initial_steps,initial_return,initial_final_object_goal_distance,condition_id,mechanism_class_oracle,passive_prediction,probe_prediction,probe_score,phase_inconsistency,temporal_uncertainty,passive_candidate,probe_candidate,oracle_mechanism_candidate,best_candidate_ids,paired_comparable,compensation_available,compensation_unavailable_reason,passive_candidate_is_best,probe_candidate_is_best,oracle_mechanism_candidate_is_best,belief_changed,intervention_changed,probe_vs_passive_selected_outcome,registered_probe_environment_steps,initial_perturbation_seed,probe_perturbation_seed_base,verification_perturbation_seed
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0011,11,400,True,False,500,2461.3545761368455,0.48670171213741914,fault_02,stable_bias,stochastic_noise,stable_bias,4.572831111159083e-16,0.8152230524367766,0.8077527910438618,stochastic_retry,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,False,True,True,True,True,left_better,64,42540154,96072567,1620281615
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0012,12,401,False,True,363,258.60203247028335,0.0488092000371298,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0013,13,402,True,False,500,105.45970698249533,0.16608918520053,fault_02,stable_bias,stable_bias,stable_bias,4.572831111159083e-16,0.8342125127506008,0.8969261851402441,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,2238829483,3898120809,926543831
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0014,14,403,False,True,61,129.73161381626045,0.049669628294884346,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0015,15,404,False,True,75,179.48209153648975,0.04955166741300668,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0016,16,405,True,False,500,164.1428480914922,0.24028312321586795,fault_02,stable_bias,stable_bias,stable_bias,4.572831111159083e-16,0.8065250875063855,0.9034695160451192,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,3383989395,511091511,2229253322
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0017,17,406,False,True,95,70.54954720936615,0.04937142730871785,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0018,18,407,True,False,500,260.3264917395701,0.09599028701787186,fault_02,stable_bias,stable_bias,stable_bias,4.572831111159083e-16,0.8388880877511716,0.8104708200858521,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,1890274425,535265983,3243352283
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0019,19,408,True,False,500,102.0867091293444,0.16834994236847747,fault_02,stable_bias,stable_bias,stable_bias,5.27766632335736e-16,0.8127693236428576,0.8648869267501393,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,2396534654,70579857,3234379713
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0020,20,409,True,False,500,81.71034292718248,0.17340461635968601,fault_02,stable_bias,stable_bias,stable_bias,5.278122454581873e-16,0.8022235826003882,0.8804912512218188,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,328842675,3591415324,595459307
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0021,21,400,False,True,92,245.7097984857353,0.04944278049250645,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0022,22,401,True,False,500,90.64432772102906,0.20384090532715887,fault_03,stable_bias,stable_bias,stable_bias,8.479480243986617e-16,0.9397474228249796,0.9710809346708603,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,671851353,1875495536,437489786
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0023,23,402,False,True,100,286.6004044167686,0.04685893567585092,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0024,24,403,True,False,500,78.75827092075995,0.20400505332552238,fault_03,stable_bias,stable_bias,stable_bias,7.466508593664969e-16,0.8948042040537139,0.9140148497842657,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,79222423,3585298644,151812799
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0025,25,404,True,False,500,162.2826613618944,0.2754748101450006,fault_03,stable_bias,stable_bias,stable_bias,2.2385999867341975e-16,0.9686608409502531,0.9732012571336454,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,625744350,3576471117,1696987094
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0026,26,405,True,False,500,105.61243305161653,0.24028312321586773,fault_03,stable_bias,stable_bias,stable_bias,2.5847961907471244e-16,0.8749718443671658,0.8832667092577817,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,3383989395,511091511,2229253322
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0027,27,406,True,False,500,162.4637345833214,0.2451947632311806,fault_03,stable_bias,stable_bias,stable_bias,7.840988490159206e-16,0.87156054405746,0.7913062459945388,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,3112179510,2263118641,2894661903
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0028,28,407,False,True,94,318.94889441223665,0.04821116194523285,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0029,29,408,True,False,500,192.18991457886767,0.17557082169845128,fault_03,stable_bias,stable_bias,stable_bias,7.840988490159206e-16,0.913503091560369,0.9070302362611606,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,2396534654,70579857,3234379713
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0030,30,409,True,False,500,93.29613011219878,0.2382551798422316,fault_03,stable_bias,stable_bias,stable_bias,7.553660112048233e-16,0.9194690239999765,0.9744756865896611,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,328842675,3591415324,595459307
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0031,31,400,True,False,500,142.60766477579125,0.37274311955436457,fault_04,stable_bias,stochastic_noise,stable_bias,2.3604481204026223e-15,0.7407453257646356,0.7075111129926606,stochastic_retry,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,False,True,True,True,True,left_better,64,42540154,96072567,1620281615
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0032,32,401,True,False,500,133.1237262436384,0.20191512333829653,fault_04,stable_bias,stable_bias,stable_bias,3.4599693555458864e-15,0.869252259922927,0.9662547904345941,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,671851353,1875495536,437489786
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0033,33,402,True,False,500,131.75605641326456,0.16348662268047912,fault_04,stable_bias,stable_bias,stable_bias,2.0360658646746977e-15,0.8155991498402483,0.8900682484594122,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,2238829483,3898120809,926543831
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0034,34,403,True,False,500,128.213876279415,0.19970899339216502,fault_04,stable_bias,stable_bias,stable_bias,1.2330162602736769e-15,0.8922747467425275,0.9617191955279357,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,79222423,3585298644,151812799
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0035,35,404,True,False,500,123.59924095287023,0.24295510731387573,fault_04,stable_bias,stable_bias,stable_bias,2.330683463738523e-15,0.9059746571745454,0.9867877465551744,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,625744350,3576471117,1696987094
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0036,36,405,True,False,500,138.1167046659617,0.23941223983703258,fault_04,stable_bias,stable_bias,stable_bias,2.153562606259429e-15,0.8239494083564696,0.8786026367211186,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,3383989395,511091511,2229253322
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0037,37,406,True,False,500,153.25969008016102,0.21292573955323538,fault_04,stable_bias,stable_bias,stable_bias,2.7621678940082615e-15,0.7975548499656693,0.861112435706807,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,3112179510,2263118641,2894661903
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0038,38,407,True,False,500,134.76455459230704,0.2667136515198697,fault_04,stable_bias,stable_bias,stable_bias,2.3207047413414023e-15,0.8854765885769152,0.9675304318375754,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,1890274425,535265983,3243352283
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0039,39,408,True,False,500,125.55012703922256,0.16635957052158806,fault_04,stable_bias,stable_bias,stable_bias,2.952415778357891e-15,0.8387158005719343,0.9167569908339819,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,2396534654,70579857,3234379713
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0040,40,409,True,False,500,129.24788984667632,0.23513896123280575,fault_04,stable_bias,stable_bias,stable_bias,1.6852086362657913e-15,0.9044092160229574,0.9966613807584989,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,probe_grounded_compensation,True,True,,True,True,True,False,False,tie,64,328842675,3591415324,595459307
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0041,41,400,True,False,500,2563.1346034674275,0.2538027748733654,fault_05,stochastic_noise,stochastic_noise,stochastic_noise,0.5567425556610828,0.8323136151251749,0.838377241182704,stochastic_retry,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,True,True,True,False,False,tie,64,42540154,96072567,1620281615
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0042,42,401,True,False,500,324.80257715944316,0.21008209858346955,fault_05,stochastic_noise,stable_bias,stochastic_noise,0.6839233263346489,0.9831618576893383,0.9797361666622022,probe_grounded_compensation,stochastic_retry,stochastic_retry,probe_grounded_compensation,True,True,,True,False,False,True,True,right_better,64,671851353,1875495536,437489786
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0043,43,402,False,True,180,655.7793829900255,0.04927783351270869,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0044,44,403,False,True,149,412.15217660232685,0.04430145878610712,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0045,45,404,False,True,398,2407.832421120804,0.04975329813264685,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0046,46,405,False,True,95,357.9443966669676,0.048883507178963566,,,,,,,,,,,,False,,,,,,,,,,,,
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0047,47,406,True,False,500,197.13725464443044,0.34729478319332696,fault_05,stochastic_noise,stochastic_noise,stochastic_noise,0.5250195364856282,0.9686464256702753,0.9495731628382325,stochastic_retry,stochastic_retry,stochastic_retry,,False,False,registered_recovery_policy_abstained,,,,False,False,UNAVAILABLE,64,3112179510,2263118641,2894661903
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0048,48,407,True,False,500,306.45149866512816,0.20012874562014393,fault_05,stochastic_noise,stable_bias,stochastic_noise,0.5874106849058934,0.9890044773589728,0.9914840846160933,probe_grounded_compensation,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,False,True,True,True,True,left_better,64,1890274425,535265983,3243352283
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0049,49,408,True,False,500,160.81670611400918,0.08450962282199681,fault_05,stochastic_noise,stable_bias,stochastic_noise,0.27209225838076284,0.9728037595182991,0.9670509736510727,probe_grounded_compensation,stochastic_retry,stochastic_retry,stochastic_retry,True,True,,False,True,True,True,True,left_better,64,2396534654,70579857,3234379713
development_20260731T030710Z_a1756e42d473,a1756e42d47327e79b47b8e6e73d6d57d2fe2959,development_case_0050,50,409,False,True,71,147.50245359069632,0.04957181996523081,,,,,,,,,,,,False,,,,,,,,,,,,
